"date","year","month","prov","cases","pop","prcp.0","prcp.1","prcp.2","prcp.3","prcp.4","prcp.5","prcp.6","par.0","par.1","par.2","par.3","par.4","par.5","par.6","nino34.0","nino34.1","nino34.2","nino34.3","nino34.4","nino34.5","nino34.6","nino34.7","nino34.8","nino34.9","nino34.10","nino34.11","nino34.12","ID.year","ID.month"
"2009-01-01",2009,1,"Entre Ríos",0,1244041.125,59.6165905744692,22.3205058247662,78.5930009169809,107.572765989048,47.7970211034768,33.5898964198998,35.5751666063956,2.07,3,3.34,2.76,2.97,3.04,2.61,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,-0.3,-0.68,-0.84,-0.99,-1.21,-1.67,-1.68,1,1
"2009-02-01",2009,2,"Entre Ríos",4,1244041.125,187.581047876737,59.6165905744692,22.3205058247662,78.5930009169809,107.572765989048,47.7970211034768,33.5898964198998,2.33,2.07,3,3.34,2.76,2.97,3.04,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,-0.3,-0.68,-0.84,-0.99,-1.21,-1.67,1,2
"2009-03-01",2009,3,"Entre Ríos",4,1244041.125,219.672187386992,187.581047876737,59.6165905744692,22.3205058247662,78.5930009169809,107.572765989048,47.7970211034768,2.97,2.33,2.07,3,3.34,2.76,2.97,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,-0.3,-0.68,-0.84,-0.99,-1.21,1,3
"2009-04-01",2009,4,"Entre Ríos",3,1244041.125,66.9513612646588,219.672187386992,187.581047876737,59.6165905744692,22.3205058247662,78.5930009169809,107.572765989048,2.23,2.97,2.33,2.07,3,3.34,2.76,-0.35,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,-0.3,-0.68,-0.84,-0.99,1,4
"2009-05-01",2009,5,"Entre Ríos",0,1244041.125,66.9748330707238,66.9513612646588,219.672187386992,187.581047876737,59.6165905744692,22.3205058247662,78.5930009169809,1.79,2.23,2.97,2.33,2.07,3,3.34,0.06,-0.35,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,-0.3,-0.68,-0.84,1,5
"2009-06-01",2009,6,"Entre Ríos",1,1244041.125,23.4924510512993,66.9748330707238,66.9513612646588,219.672187386992,187.581047876737,59.6165905744692,22.3205058247662,2.01,1.79,2.23,2.97,2.33,2.07,3,0.31,0.06,-0.35,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,-0.3,-0.68,1,6
"2009-07-01",2009,7,"Entre Ríos",0,1244041.125,65.5171481892855,23.4924510512993,66.9748330707238,66.9513612646588,219.672187386992,187.581047876737,59.6165905744692,2.86,2.01,1.79,2.23,2.97,2.33,2.07,0.48,0.31,0.06,-0.35,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,-0.3,1,7
"2009-08-01",2009,8,"Entre Ríos",0,1244041.125,33.8359588908405,65.5171481892855,23.4924510512993,66.9748330707238,66.9513612646588,219.672187386992,187.581047876737,2.97,2.86,2.01,1.79,2.23,2.97,2.33,0.56,0.48,0.31,0.06,-0.35,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,-0.13,1,8
"2009-09-01",2009,9,"Entre Ríos",1,1244041.125,127.949446582632,33.8359588908405,65.5171481892855,23.4924510512993,66.9748330707238,66.9513612646588,219.672187386992,3.14,2.97,2.86,2.01,1.79,2.23,2.97,0.68,0.56,0.48,0.31,0.06,-0.35,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,-0.25,1,9
"2009-10-01",2009,10,"Entre Ríos",0,1244041.125,83.9916164049181,127.949446582632,33.8359588908405,65.5171481892855,23.4924510512993,66.9748330707238,66.9513612646588,3.6,3.14,2.97,2.86,2.01,1.79,2.23,0.89,0.68,0.56,0.48,0.31,0.06,-0.35,-0.69,-0.79,-0.89,-0.86,-0.46,-0.35,1,10
